onset	duration	trial_type	response_time	trial_number	73k_id	10k_id	time	is_correct	change_mind	memory_recent	memory_first	is_old_session	is_correct_session	total_novel_presses	total_old_presses	response	missing_data
12	3	0	1.16217907899409	1	26332	8819	7.6842020759359	1	0	n/a	n/a	0	1	1	0	1	0
16	3	0	3.13625826800126	2	1466	2972	7.68424837570637	0	1	n/a	n/a	0	0	1	1	2	0
20	3	0	1.1385473079863	3	14595	175	7.68429466395173	1	0	n/a	n/a	0	1	1	0	1	0
24	3	1	1.15009859498241	4	62406	6169	7.6843409728026	0	0	219	n/a	0	1	1	0	1	0
28	3	0	0.924933166999836	5	59235	1591	7.68438724672887	1	0	n/a	n/a	0	1	1	0	1	0
32	3	0	1.31317927097552	6	34349	4692	7.68443354277406	1	0	n/a	n/a	0	1	1	0	1	0
36	3	0	1.16276987400488	7	50695	4152	7.68447983439546	1	0	n/a	n/a	0	1	1	0	1	0
40	3	0	0.981011669995496	8	23844	7167	7.68452612461988	1	0	n/a	n/a	0	1	1	0	1	0
44	3	1	2.31308953597909	9	17041	4465	7.68457242718432	1	0	154	n/a	0	0	0	1	2	0
48	3	0	0.840304070996353	10	53487	5313	7.68461872113403	1	0	n/a	n/a	0	1	1	0	1	0
52	3	0	1.23274235299323	11	24481	305	7.68466501682997	1	0	n/a	n/a	0	1	1	0	1	0
56	3	1	1.5051330490096	12	71316	9575	7.68471130204853	0	0	346	n/a	0	1	1	0	1	0
60	3	0	1.30220160001772	13	36975	487	7.68475760589354	1	0	n/a	n/a	0	1	1	0	1	0
64	3	0	1.17755048899562	14	68250	3997	7.68480390112381	1	0	n/a	n/a	0	1	1	0	1	0
72	3	1	1.74108172100387	15	52233	7390	7.68489647854585	0	0	233	n/a	0	1	1	0	1	0
76	3	0	1.83854814199731	16	35780	1277	7.68494278169237	1	0	n/a	n/a	0	1	1	0	1	0
80	3	0	1.68372653800179	17	15065	2195	7.68498906784225	1	0	n/a	n/a	0	1	1	0	1	0
84	3	0	1.15693782299059	18	15228	5101	7.68503536994103	1	0	n/a	n/a	0	1	1	0	1	0
88	3	0	1.18162937200395	19	56273	1826	7.68508166389074	1	0	n/a	n/a	0	1	1	0	1	0
92	3	1	0.820011219009757	20	59235	1591	7.685127860168	1	0	14	n/a	1	1	0	1	2	0
96	3	0	0.792572795005981	21	36763	2080	7.68517415423412	1	0	n/a	n/a	0	1	1	0	1	0
100	3	0	0.983711269975174	22	70628	3804	7.68522044131532	1	0	n/a	n/a	0	1	1	0	1	0
104	3	0	2.46286845899886	23	24685	2773	7.6852667449275	0	1	n/a	n/a	0	0	1	1	2	0
112	3	1	1.40238073698129	24	22960	5345	7.68535933131352	0	0	190	n/a	0	1	1	0	1	0
116	3	1	2.52862360599102	25	16549	7130	7.6854056204902	1	0	336	497	0	0	0	1	2	0
120	3	1	1.4047586210072	26	27814	3770	7.68545191490557	0	0	646	n/a	0	1	1	0	1	0
124	3	1	1.73924244299997	27	10263	1386	7.68549821607303	0	0	78	n/a	0	1	1	0	1	0
128	3	0	1.78150782300509	28	17842	9317	7.6855445005931	1	0	n/a	n/a	0	1	1	0	1	0
132	3	0	1.43928099799086	29	67104	8105	7.68559079500847	1	0	n/a	n/a	0	1	1	0	1	0
136	3	1	1.52670857700286	30	1083	8280	7.6856370937312	0	0	413	n/a	0	1	1	0	1	0
140	3	0	1.46605785100837	31	36911	485	7.68568338558543	1	0	n/a	n/a	0	1	1	0	1	0
144	3	0	1.40305408500717	32	16703	200	7.68572967825457	1	0	n/a	n/a	0	1	1	0	1	0
148	3	0	1.92340823897393	33	61717	9130	7.68577598023694	1	0	n/a	n/a	0	1	1	0	1	0
152	3	0	1.50372380198678	34	34107	2587	7.68582226801664	1	0	n/a	n/a	0	1	1	0	1	0
156	3	0	1.56811153801391	35	65410	2904	7.68586855963804	1	0	n/a	n/a	0	1	1	0	1	0
164	3	0	1.24153810300049	36	19898	4239	7.68596114974935	1	0	n/a	n/a	0	1	1	0	1	0
168	3	0	1.7038844669878	37	8974	8001	7.68600744451396	1	0	n/a	n/a	0	1	1	0	1	0
172	3	0	1.27482982299989	38	3221	3312	7.68605373939499	1	0	n/a	n/a	0	1	1	0	1	0
176	3	0	1.64092007398722	39	69366	6903	7.6861000318313	1	0	n/a	n/a	0	1	1	0	1	0
180	3	1	0.972437588003231	40	53487	5313	7.68614633113611	1	0	29	n/a	1	1	0	1	2	0
184	3	0	0.950071622995893	41	26474	5567	7.68619262310676	1	0	n/a	n/a	0	1	1	0	1	0
188	3	0	1.18904807700892	42	55094	9012	7.68623892229516	1	0	n/a	n/a	0	1	2	0	1	0
192	3	0	1.24842811701819	43	4477	5208	7.68628520832863	1	0	n/a	n/a	0	1	1	0	1	0
196	3	0	1.32498392500565	44	33454	3475	7.6863314146176	1	0	n/a	n/a	0	1	1	0	1	0
200	3	1	1.29284242200083	45	71874	2336	7.68637769669294	1	0	366	433	0	0	0	1	2	0
208	3	1	1.96973291999893	46	34723	9008	7.68647028773557	1	1	192	n/a	0	0	1	1	2	0
212	3	1	1.25472286599688	47	63815	7974	7.68651658901945	1	0	333	539	0	0	0	1	2	0
216	3	1	3.0262415590114	48	11271	8441	7.68656287784688	1	1	582	n/a	0	0	1	1	2	0
220	3	1	1.8040085399989	49	5603	53	7.68660917319357	1	0	565	n/a	0	0	0	1	2	0
224	3	1	1.16715735301841	50	3627	14	7.68665547354612	1	0	224	n/a	0	0	0	1	2	0
228	3	1	1.45498303600471	51	16499	2255	7.68670176400337	1	0	256	n/a	0	0	0	1	2	0
232	3	0	0.967072038009064	52	59849	4096	7.68674805294722	1	0	n/a	n/a	0	1	1	0	1	0
236	3	0	2.15181320300326	53	61749	848	7.68679434724618	1	0	n/a	n/a	0	1	1	0	1	0
240	3	0	1.65714775200468	54	5464	4139	7.68684063851833	1	0	n/a	n/a	0	1	1	0	1	0
248	3	0	1.68133178699645	55	10118	9969	7.68693323538173	1	0	n/a	n/a	0	1	1	0	1	0
252	3	0	2.42134128100588	56	11341	5604	7.68697952933144	1	0	n/a	n/a	0	1	1	0	1	0
256	3	0	1.23084268602543	57	59269	5629	7.68702590034809	1	0	n/a	n/a	0	1	1	0	1	0
260	3	0	1.41921860698494	58	62934	5555	7.68707220035139	1	0	n/a	n/a	0	1	1	0	1	0
264	3	0	2.01300077899941	59	8007	86	7.68711850245018	1	0	n/a	n/a	0	1	1	0	1	0
268	3	0	2.00305016399943	60	53562	7292	7.68716480000876	1	0	n/a	n/a	0	1	1	0	1	0
272	3	0	1.44004532200051	61	29936	2391	7.68721109256148	1	0	n/a	n/a	0	1	2	0	1	0
276	3	0	1.87257761799265	62	17430	1282	7.68725739384536	1	0	n/a	n/a	0	1	2	0	1	0
280	3	1	1.6762351069774	63	68491	2152	7.68730369408149	0	0	77	n/a	0	1	1	0	1	0
